spray.date,first.spray.date,mildew.incidence,flagshoot,previous.flagshoot,disease.in.may,pruning,susceptibility.to.r6.Strains,susceptibility.to.nonr6.Strains,synthetic,nonsynthetic,year,group,mi,NonSynthetic,Synthetic,Mixture,Change
155,119,0,0,0,0,3,1,1,1,0,2014,Synthetic,0,0.228573762,0.516173586,0.255252652,NS
183,119,0.01,0,0,0,3,1,1,1,1,2014,Mixture,1,0.035648627,0.520443773,0.4439076,SM
155,119,0,0,0,0,3,4,4,1,0,2014,Synthetic,0,0.176943983,0.45222109,0.370834927,NS
183,119,0.01,0,0,0,3,4,4,1,1,2014,Mixture,1,0.024454599,0.404051925,0.571493475,SM
155,119,0,0,0,0,3,4,4,1,0,2014,Synthetic,0,0.176943983,0.45222109,0.370834927,NS
183,119,0.02,0,0,0,3,4,4,1,1,2014,Mixture,1,0.024077791,0.399573247,0.576348962,SM
155,119,0.05,0,0,0,4,2,2,1,0,2014,Synthetic,1,0.149748037,0.54923298,0.301018983,NS
183,119,0.1,0,0,0,4,2,2,1,1,2014,Mixture,1,0.020079081,0.484521963,0.495398956,SM
155,119,0,0,0,0,3,1,1,1,0,2014,Synthetic,0,0.228573762,0.516173586,0.255252652,NS
183,119,0,0,0,0,3,1,1,1,1,2014,Mixture,0,0.036110762,0.524885443,0.439003796,SM
155,119,0,0,0,0,3,1,1,1,0,2014,Synthetic,0,0.228573762,0.516173586,0.255252652,NS
183,119,0,0,0,0,3,1,1,1,1,2014,Mixture,0,0.036110762,0.524885443,0.439003796,SM
155,119,0.01,0,0,0,4,4,4,1,0,2014,Synthetic,1,0.175020605,0.449269906,0.375709489,NS
183,119,0.02,0,0,0,4,4,4,1,1,2014,Mixture,1,0.024077791,0.399573247,0.576348962,SM
155,119,0,0,0,0,2,1,1,1,0,2014,Synthetic,0,0.228573762,0.516173586,0.255252652,NS
183,119,0.16,0,0,0,2,1,1,1,1,2014,Mixture,1,0.029039063,0.452752284,0.518208654,SM
155,119,0.1,0,0,0.01,5,2,2,1,0,2014,Synthetic,1,0.142545684,0.534398488,0.323055828,NS
183,119,0.07,0,0,0.01,5,2,2,1,1,2014,Mixture,1,0.020931568,0.498496342,0.480572091,SM
155,119,0.09,0,0,0.13,3,2,2,1,0,2014,Synthetic,1,0.143984689,0.537432994,0.318582317,NS
183,119,0.02,0,0,0.13,3,2,2,1,1,2014,Mixture,1,0.022389633,0.521664787,0.45594558,SM
151,119,0.48,0,0,0,3,4,4,1,1,2014,Mixture,1,0.122996986,0.297329059,0.579673955,NM
155,119,0.48,0,0,0,3,4,4,1,0,2014,Synthetic,1,0.092742515,0.292512479,0.614745006,MS
183,119,0.12,0,0,0,3,4,4,1,1,2014,Mixture,1,0.020506565,0.355552743,0.623940693,SM
155,119,0.03,0,0,0,3,1,1,1,0,2014,Synthetic,1,0.222808093,0.509811668,0.267380239,NS
