spray.date,first.spray.date,mildew.incidence,flagshoot,previous.flagshoot,disease.in.may,pruning,susceptibility.to.r6.Strains,susceptibility.to.nonr6.Strains,synthetic,nonsynthetic,year,group,mi,NonSynthetic,Synthetic,Mixture,Change
155,119,0.48,0,0,0,3,4,4,1,0,2014,Synthetic,1,0.092742515,0.292512479,0.614745006,MS
181,99,0.14,0,0,0,4,4,4,1,0,2014,Synthetic,1,0.128574822,0.660787253,0.210637925,MS
180,114,0,0,0,0,5,4,4,1,0,2016,Synthetic,0,0.075124832,0.667368041,0.257507127,MS
181,114,0.005,0,0,0,4,4,4,1,0,2016,Synthetic,1,0.069964405,0.66571947,0.264316126,MS
181,126,0,0,0,0,3,1,1,1,0,2017,Synthetic,0,0.031430773,0.309569889,0.658999339,MS
181,126,0,0,0,0,3,4,4,1,0,2017,Synthetic,0,0.019419165,0.216461083,0.764119752,MS
181,126,0,0,0,0,3,4,4,1,0,2017,Synthetic,0,0.019419165,0.216461083,0.764119752,MS
181,126,0,0,0,0,2,0,0,1,0,2017,Synthetic,0,0.016126352,0.138395729,0.845477919,MS
181,126,0,0,0,0,3,1,1,1,0,2017,Synthetic,0,0.031430773,0.309569889,0.658999339,MS
181,126,0,0,0,0,2,1,1,1,0,2017,Synthetic,0,0.031430773,0.309569889,0.658999339,MS
181,126,0,0,0,0,3,4,4,1,0,2017,Synthetic,0,0.019419165,0.216461083,0.764119752,MS
181,126,0,0,0,0,4,4,4,1,0,2017,Synthetic,0,0.019419165,0.216461083,0.764119752,MS
181,126,0,0,0,0.0025,2,1,1,1,0,2017,Synthetic,0,0.031430773,0.309569889,0.658999339,MS
181,126,0.005,0,0,0,3,4,4,1,0,2017,Synthetic,1,0.019232703,0.214852863,0.765914434,MS
181,126,0,0,0,0,2,1,1,1,0,2017,Synthetic,0,0.031430773,0.309569889,0.658999339,MS
181,126,0,0,0,0,5,1,1,1,0,2017,Synthetic,0,0.031430773,0.309569889,0.658999339,MS
181,126,0,0,0,0,5,1,1,1,0,2017,Synthetic,0,0.031430773,0.309569889,0.658999339,MS
181,126,0,0,0,0,5,4,4,1,0,2017,Synthetic,0,0.019419165,0.216461083,0.764119752,MS
179,118,0,0,0,0,3,0,0,1,0,2017,Synthetic,0,0.157679934,0.497608778,0.344711288,MS
179,118,0.085,0,0,0.005,3,4,4,1,0,2017,Synthetic,1,0.137620006,0.585507594,0.276872399,MS
170,118,0.22,0,0,0.0025,3,4,0,1,0,2017,Synthetic,1,0.553324534,0.231817523,0.214857943,MS
