spray.date,first.spray.date,mildew.incidence,flagshoot,previous.flagshoot,disease.in.may,pruning,susceptibility.to.r6.Strains,susceptibility.to.nonr6.Strains,synthetic,nonsynthetic,year,group,mi,NonSynthetic,Synthetic,Mixture,Change
165,119,0.42,0,0,0,5,4,0,1,1,2014,Mixture,1,0.24899935,0.558641237,0.192359413,NM
165,119,0.42,0,0,0,5,4,0,1,1,2014,Mixture,1,0.24899935,0.558641237,0.192359413,NM
165,116,0.71,0,0,0.07,4,5,0,1,1,2014,Mixture,1,0.198408383,0.477888474,0.323703142,NM
172,121,0.12,0,0,0,1,4,0,1,1,2014,Mixture,1,0.604782498,0.05721272,0.338004783,NM
172,121,0.36,0,0,0,4,4,0,1,1,2014,Mixture,1,0.476410593,0.050066824,0.473522582,NM
172,121,0.48,0,0,0,3,4,0,1,1,2014,Mixture,1,0.410465566,0.045465607,0.544068826,NM
170,121,0.22,0,0,0,3,4,0,1,1,2014,Mixture,1,0.593278185,0.051335973,0.355385843,NM
169,121,0.89,0,0,0.2,2,4,0,1,1,2014,Mixture,1,0.259547657,0.028184476,0.712267867,NM
164,70,0.11,0,0,0,5,2,0,1,1,2015,Mixture,1,0.178140834,0.642681089,0.179178077,NM
175,113,0.59,0,0,0,2,4,0,1,1,2015,Mixture,1,0.03916114,0.809605296,0.151233565,NM
179,129,0,0,0,0,1,2,0,1,1,2015,Mixture,0,0.202562626,0.678869136,0.118568238,NM
143,130,0.01,0,0,0,3,4,0,1,1,2015,Mixture,1,0.886579828,0.016615205,0.096804967,NM
144,128,0.61,0,0,0,2,4,0,1,1,2015,Mixture,1,0.64754589,0.016251287,0.336202822,NM
143,129,0.71,0,0,0,3,4,0,1,1,2015,Mixture,1,0.617050895,0.015424412,0.367524693,NM
129,117,0.13,0,0,0,2,4,0,1,1,2015,Mixture,1,0.957034032,0.023791307,0.019174661,NM
128,117,0.27,0,0,0,1,4,0,1,1,2015,Mixture,1,0.951952527,0.023543415,0.024504058,NM
131,121,0.37,0,0,0.01,3,4,0,1,1,2015,Mixture,1,0.931597078,0.031669012,0.036733909,NM
167,117,0.19,0,0,0,1,4,0,1,1,2015,Mixture,1,0.523469941,0.167211662,0.309318398,NM
147,98,0,0,0,0,5,1,1,1,1,2016,Mixture,0,0.570961087,0.042854944,0.38618397,NM
138,119,0.99,0,0,0.0075,4,4,0,1,1,2016,Mixture,1,0.254267121,0.001288927,0.744443953,NM
158,119,0.99,0,0,0.0075,4,4,0,1,1,2016,Mixture,1,0.058369797,0.001118766,0.940511437,NM
138,119,0.99,0,0,0,4,4,0,1,1,2016,Mixture,1,0.254267121,0.001288927,0.744443953,NM
158,119,0.99,0,0,0,4,4,0,1,1,2016,Mixture,1,0.058369797,0.001118766,0.940511437,NM
138,119,0.175,0,0,0,2,4,0,1,1,2016,Mixture,1,0.705224855,0.002501267,0.292273878,NM
159,119,0.46,0,0,0,2,4,0,1,1,2016,Mixture,1,0.168430966,0.002735191,0.828833843,NM
138,119,0.465,0,0,0,4,4,0,1,1,2016,Mixture,1,0.544957936,0.002194757,0.452847307,NM
158,119,0.465,0,0,0,4,4,0,1,1,2016,Mixture,1,0.178940291,0.002724863,0.818334846,NM
154,139,0.13,0,0,0,3,5,0,1,1,2016,Mixture,1,0.555288649,0.073076413,0.371634938,NM
