spray.date,first.spray.date,mildew.incidence,flagshoot,previous.flagshoot,disease.in.may,pruning,susceptibility.to.r6.Strains,susceptibility.to.nonr6.Strains,synthetic,nonsynthetic,year,group,mi,NonSynthetic,Synthetic,Mixture,Change
155,119,0,0,0,0,3,1,1,1,0,2014,Synthetic,0,0.228573762,0.516173586,0.255252652,NS
155,119,0,0,0,0,3,4,4,1,0,2014,Synthetic,0,0.176943983,0.45222109,0.370834927,NS
155,119,0,0,0,0,3,4,4,1,0,2014,Synthetic,0,0.176943983,0.45222109,0.370834927,NS
155,119,0.05,0,0,0,4,2,2,1,0,2014,Synthetic,1,0.149748037,0.54923298,0.301018983,NS
155,119,0,0,0,0,3,1,1,1,0,2014,Synthetic,0,0.228573762,0.516173586,0.255252652,NS
155,119,0,0,0,0,3,1,1,1,0,2014,Synthetic,0,0.228573762,0.516173586,0.255252652,NS
155,119,0.01,0,0,0,4,4,4,1,0,2014,Synthetic,1,0.175020605,0.449269906,0.375709489,NS
155,119,0,0,0,0,2,1,1,1,0,2014,Synthetic,0,0.228573762,0.516173586,0.255252652,NS
155,119,0.1,0,0,0.01,5,2,2,1,0,2014,Synthetic,1,0.142545684,0.534398488,0.323055828,NS
155,119,0.09,0,0,0.13,3,2,2,1,0,2014,Synthetic,1,0.143984689,0.537432994,0.318582317,NS
155,119,0.03,0,0,0,3,1,1,1,0,2014,Synthetic,1,0.222808093,0.509811668,0.267380239,NS
155,119,0.36,0,0,0,5,3,3,1,0,2014,Synthetic,1,0.152805751,0.388249424,0.458944825,NS
155,119,0.04,0,0,0.03,3,3,3,1,0,2014,Synthetic,1,0.217283078,0.479840259,0.302876663,NS
155,119,0,0,0,0,3,1,1,1,0,2014,Synthetic,0,0.228573762,0.516173586,0.255252652,NS
155,119,0.01,0,0,0,3,1,1,1,0,2014,Synthetic,1,0.226655325,0.514089181,0.259255494,NS
155,119,0.02,0,0,0,4,4,4,1,0,2014,Synthetic,1,0.173100089,0.446291459,0.380608452,NS
155,119,0.01,0,0,0,3,1,1,1,0,2014,Synthetic,1,0.226655325,0.514089181,0.259255494,NS
155,119,0,0,0,0,5,1,1,1,0,2014,Synthetic,0,0.228573762,0.516173586,0.255252652,NS
155,119,0.02,0,0,0.01,5,4,4,1,0,2014,Synthetic,1,0.173100089,0.446291459,0.380608452,NS
155,119,0,0,0,0,3,3,3,1,0,2014,Synthetic,0,0.225408903,0.489135631,0.285455466,NS
155,119,0.11,0,0,0.0075,4,3,3,1,0,2014,Synthetic,1,0.203006449,0.462277294,0.334716257,NS
161,81,0.99,0,0.01,0.38,5,4,4,1,0,2014,Synthetic,1,0.180769777,0.254700516,0.564529708,NS
128,104,0.01,0,0,0.01,2,2,0,1,0,2014,Synthetic,1,0.879586043,0.106366346,0.014047611,NS
