spray.date,first.spray.date,mildew.incidence,flagshoot,previous.flagshoot,disease.in.may,pruning,susceptibility.to.r6.Strains,susceptibility.to.nonr6.Strains,synthetic,nonsynthetic,year,group,mi,NonSynthetic,Synthetic,Mixture,Change
183,119,0.01,0,0,0,3,1,1,1,1,2014,Mixture,1,0.035648627,0.520443773,0.4439076,SM
183,119,0.01,0,0,0,3,4,4,1,1,2014,Mixture,1,0.024454599,0.404051925,0.571493475,SM
183,119,0.02,0,0,0,3,4,4,1,1,2014,Mixture,1,0.024077791,0.399573247,0.576348962,SM
183,119,0,0,0,0,3,1,1,1,1,2014,Mixture,0,0.036110762,0.524885443,0.439003796,SM
183,119,0,0,0,0,3,1,1,1,1,2014,Mixture,0,0.036110762,0.524885443,0.439003796,SM
183,119,0.02,0,0,0,4,4,4,1,1,2014,Mixture,1,0.024077791,0.399573247,0.576348962,SM
183,119,0.16,0,0,0,2,1,1,1,1,2014,Mixture,1,0.029039063,0.452752284,0.518208654,SM
183,119,0.12,0,0,0,3,4,4,1,1,2014,Mixture,1,0.020506565,0.355552743,0.623940693,SM
183,119,0.01,0,0,0,3,1,1,1,1,2014,Mixture,1,0.035648627,0.520443773,0.4439076,SM
183,119,0,0,0,0,3,1,1,1,1,2014,Mixture,0,0.036110762,0.524885443,0.439003796,SM
183,119,0.04,0,0,0,3,1,1,1,1,2014,Mixture,1,0.034277163,0.507043579,0.458679258,SM
183,119,0.03,0,0,0,4,4,4,1,1,2014,Mixture,1,0.023704496,0.395106005,0.581189499,SM
183,119,0.02,0,0,0,3,1,1,1,1,2014,Mixture,1,0.035188947,0.51598898,0.448822073,SM
183,119,0.05,0,0,0,5,1,1,1,1,2014,Mixture,1,0.033825159,0.50255477,0.463620071,SM
183,119,0.13,0,0,0.01,5,4,4,1,1,2014,Mixture,1,0.020169532,0.351244944,0.628585524,SM
169,81,0.99,0,0,0.38,5,4,4,1,1,2014,Mixture,1,0.104426871,0.250473363,0.645099766,SM
150,116,0.94,0,0,0.07,4,5,0,1,1,2014,Mixture,1,0.360898898,0.354580067,0.284521035,SM
164,99,0.14,0,0,0,4,4,4,1,1,2014,Mixture,1,0.328537968,0.545155091,0.126306941,SM
180,133,0.02,0,0,0,2,1,1,1,1,2014,Mixture,1,0.364301384,0.608254039,0.027444578,SM
182,132,0,0,0,0,2,4,0,1,1,2014,Mixture,0,0.352932124,0.570602411,0.076465464,SM
180,132,0,0,0,0,1,1,1,1,1,2014,Mixture,0,0.370716566,0.602199203,0.027084231,SM
155,129,0,0,0,0,3,4,0,1,1,2015,Mixture,0,0.744916474,0.030299851,0.224783674,SM
145,121,0.6,0,0,0.03,3,4,0,1,1,2015,Mixture,1,0.756840219,0.072195806,0.170963975,SM
146,106,0.865,0,0,0,5,4,4,1,1,2016,Mixture,1,0.256960743,0.299343387,0.44369587,SM
184,114,0.235,0,0,0,3,5,0,1,1,2016,Mixture,1,0.045087717,0.445988603,0.50892368,SM
171,118,0.035,0,0,0,2,4,4,1,1,2017,Mixture,1,0.230035208,0.562450506,0.207514286,SM
171,118,0.045,0,0,0,2,4,4,1,1,2017,Mixture,1,0.228320901,0.56071065,0.210968449,SM
185,157,0,0,0,0,1,1,1,1,1,2017,Mixture,0,0.351447359,0.252432185,0.396120457,SM
