spray.date,first.spray.date,mildew.incidence,flagshoot,previous.flagshoot,disease.in.may,pruning,susceptibility.to.r6.Strains,susceptibility.to.nonr6.Strains,synthetic,nonsynthetic,year,group,mi,NonSynthetic,Synthetic,Mixture,Change
171,104,0.09,0,0,0.01,2,2,0,0,1,2014,NonSynthetic,1,0.253631051,0.554398178,0.191970771,SN
140,119,0.12,0,0,0,5,4,0,0,1,2014,NonSynthetic,1,0.705355866,0.263167642,0.031476492,SN
140,119,0.12,0,0,0,5,4,0,0,1,2014,NonSynthetic,1,0.705355866,0.263167642,0.031476492,SN
172,81,0,0,0,0,5,1,1,0,1,2014,NonSynthetic,0,0.32551124,0.545759371,0.128729389,SN
176,116,0.36,0,0,0,2,4,0,0,1,2014,NonSynthetic,1,0.140965439,0.605280517,0.253754043,SN
183,132,0.02,0,0,0,3,1,1,0,1,2014,NonSynthetic,1,0.3226296,0.645432223,0.031938178,SN
183,127,0.01,0,0,0,1,1,1,0,1,2014,NonSynthetic,1,0.342534721,0.621368554,0.036096724,SN
182,155,0,0,0,0,3,1,1,0,1,2014,NonSynthetic,0,0.255714328,0.729404194,0.014881478,SN
183,132,0,0,0,0,1,0,0,0,1,2014,NonSynthetic,0,0.337397842,0.582995728,0.07960643,SN
167,113,0.59,0,0,0,2,4,0,0,2,2015,NonSynthetic,1,0.066240194,0.804441256,0.129318549,SN
175,89,0.01,0,0,0,5,1,1,0,1,2015,NonSynthetic,1,0.196687066,0.267479899,0.535833035,SN
147,135,0,0,0,0,5,1,1,0,1,2015,NonSynthetic,0,0.513535589,0.483735339,0.002729072,SN
147,138,0,0,0,0,5,0,0,0,1,2015,NonSynthetic,0,0.531706852,0.461584921,0.006708227,SN
147,90,0,0,0,0,2,1,1,0,1,2015,NonSynthetic,0,0.705371196,0.28646221,0.008166594,SN
147,89,0,0,0,0,3,1,1,0,1,2015,NonSynthetic,0,0.709032283,0.28261545,0.008352266,SN
147,89,0,0,0,0,3,1,1,0,1,2015,NonSynthetic,0,0.709032283,0.28261545,0.008352266,SN
149,138,0,0,0,0,3,4,0,0,1,2015,NonSynthetic,0,0.498362428,0.494180915,0.007456657,SN
149,89,0,0,0,0,5,0,0,0,1,2015,NonSynthetic,0,0.698497644,0.277101621,0.024400735,SN
146,135,0,0,0,0,4,1,1,0,1,2015,NonSynthetic,0,0.530153385,0.467259509,0.002587107,SN
149,138,0,0,0,0,5,1,1,0,1,2015,NonSynthetic,0,0.46641264,0.530796533,0.002790827,SN
149,86,0,0,0,0,5,0,0,0,1,2015,NonSynthetic,0,0.708282121,0.265656974,0.026060905,SN
149,89,0,0,0,0,2,0,0,0,1,2015,NonSynthetic,0,0.698497644,0.277101621,0.024400735,SN
146,106,0,0,0,0,5,0,0,0,1,2016,NonSynthetic,0,0.525544713,0.322647731,0.151807556,SN
141,114,0.335,0,0,0,3,5,0,0,1,2016,NonSynthetic,1,0.510482378,0.302279887,0.187237735,SN
154,118,0,0,0,0,3,0,0,0,1,2017,NonSynthetic,0,0.538244195,0.322162109,0.139593696,SN
179,123,0,0,0,0,3,0,0,0,1,2017,NonSynthetic,0,0.451960914,0.343496877,0.204542209,SN
181,119,0,0,0,0,1,1,1,0,1,2017,NonSynthetic,0,0.464133397,0.429105659,0.106760944,SN
181,121,0,0,0,0,3,1,1,0,1,2017,NonSynthetic,0,0.458304864,0.439860882,0.101834254,SN
181,119,0.005,0,0,0,3,1,1,0,1,2017,NonSynthetic,1,0.463100929,0.429090246,0.107808825,SN
181,121,0.01,0,0,0,1,1,1,0,1,2017,NonSynthetic,1,0.456295265,0.439855445,0.10384929,SN
182,118,0.22,0,0,0.0025,3,4,0,0,1,2017,NonSynthetic,1,0.332131336,0.309060929,0.358807736,SN
180,123,0,0,0,0,2,0,0,0,1,2017,NonSynthetic,0,0.433816346,0.352377757,0.213805897,SN
179,115,0,0,0,0,2,0,0,0,1,2017,NonSynthetic,0,0.459941144,0.300999914,0.239058942,SN
184,123,0,0,0,0,3,4,0,0,1,2017,NonSynthetic,0,0.363243467,0.384966578,0.251789955,SN
184,123,0,0,0,0,3,0,0,0,1,2017,NonSynthetic,0,0.363243467,0.384966578,0.251789955,SN
