spray.date,first.spray.date,mildew.incidence,flagshoot,previous.flagshoot,disease.in.may,pruning,susceptibility.to.r6.Strains,susceptibility.to.nonr6.Strains,synthetic,nonsynthetic,year,group,mi,NonSynthetic,Synthetic,Mixture,Change
171,104,0.09,0,0,0.01,2,2,0,0,1,2014,NonSynthetic,1,0.253631051,0.554398178,0.191970771,SN
140,119,0.12,0,0,0,5,4,0,0,1,2014,NonSynthetic,1,0.705355866,0.263167642,0.031476492,SN
140,119,0.12,0,0,0,5,4,0,0,1,2014,NonSynthetic,1,0.705355866,0.263167642,0.031476492,SN
172,81,0,0,0,0,5,1,1,0,1,2014,NonSynthetic,0,0.32551124,0.545759371,0.128729389,SN
176,116,0.36,0,0,0,2,4,0,0,1,2014,NonSynthetic,1,0.140965439,0.605280517,0.253754043,SN
183,133,0.01,0,0,0,1,4,4,0,1,2014,NonSynthetic,1,0.287770514,0.660929183,0.051300303,SN
183,132,0.02,0,0,0,3,1,1,0,1,2014,NonSynthetic,1,0.3226296,0.645432223,0.031938178,SN
181,135,0.041237113,0,0,0,2,3,3,0,1,2014,NonSynthetic,1,0.34586933,0.621422377,0.032708293,SN
181,127,0.03,0,0,0,1,3,3,0,1,2014,NonSynthetic,1,0.378040936,0.581992361,0.039966703,SN
183,127,0.01,0,0,0,1,1,1,0,1,2014,NonSynthetic,1,0.342534721,0.621368554,0.036096724,SN
182,155,0,0,0,0,3,1,1,0,1,2014,NonSynthetic,0,0.255714328,0.729404194,0.014881478,SN
181,127,0.05,0,0,0,1,3,3,0,1,2014,NonSynthetic,1,0.375380467,0.582983679,0.041635853,SN
182,135,0.02,0,0,0,2,3,3,0,1,2014,NonSynthetic,1,0.333297453,0.634082516,0.032620031,SN
180,156,0.04,0,0,0,5,3,3,0,1,2014,NonSynthetic,1,0.281822627,0.701211181,0.016966192,SN
182,136,0.06,0,0,0,2,3,3,0,1,2014,NonSynthetic,1,0.32483237,0.640774697,0.034392933,SN
