spray.date,first.spray.date,mildew.incidence,flagshoot,previous.flagshoot,disease.in.may,pruning,susceptibility.to.r6.Strains,susceptibility.to.nonr6.Strains,synthetic,nonsynthetic,year,group,mi,Grower,NonSynthetic,Synthetic,Mixture
119,119,0,0,0,0,3,1,1,0,2,2014,NonSynthetic,0,1,0.794943803,0.16383326,0.041222938
142,119,0,0,0,0,3,1,1,0,2,2014,NonSynthetic,0,1,0.431055432,0.410066172,0.158878396
155,119,0,0,0,0,3,1,1,1,0,2014,Synthetic,0,1,0.228573762,0.516173586,0.255252652
183,119,0.01,0,0,0,3,1,1,1,1,2014,Mixture,1,1,0.035648627,0.520443773,0.4439076
119,119,0,0,0,0,3,4,4,0,2,2014,NonSynthetic,0,1,0.751560586,0.17529731,0.073142104
142,119,0,0,0,0,3,4,4,0,2,2014,NonSynthetic,0,1,0.36122553,0.388906203,0.249868267
155,119,0,0,0,0,3,4,4,1,0,2014,Synthetic,0,1,0.176943983,0.45222109,0.370834927
183,119,0.01,0,0,0,3,4,4,1,1,2014,Mixture,1,1,0.024454599,0.404051925,0.571493475
119,119,0,0,0,0,3,4,4,0,2,2014,NonSynthetic,0,1,0.751560586,0.17529731,0.073142104
142,119,0,0,0,0,3,4,4,0,2,2014,NonSynthetic,0,1,0.36122553,0.388906203,0.249868267
155,119,0,0,0,0,3,4,4,1,0,2014,Synthetic,0,1,0.176943983,0.45222109,0.370834927
183,119,0.02,0,0,0,3,4,4,1,1,2014,Mixture,1,1,0.024077791,0.399573247,0.576348962
119,119,0,0,0,0,4,2,2,0,2,2014,NonSynthetic,0,1,0.709085215,0.232206548,0.058708237
142,119,0.05,0,0,0,4,2,2,0,2,2014,NonSynthetic,1,1,0.31166878,0.481548673,0.206782548
155,119,0.05,0,0,0,4,2,2,1,0,2014,Synthetic,1,1,0.149748037,0.54923298,0.301018983
183,119,0.1,0,0,0,4,2,2,1,1,2014,Mixture,1,1,0.020079081,0.484521963,0.495398956
119,119,0,0,0,0,3,1,1,0,2,2014,NonSynthetic,0,1,0.794943803,0.16383326,0.041222938
142,119,0,0,0,0,3,1,1,0,2,2014,NonSynthetic,0,1,0.431055432,0.410066172,0.158878396
155,119,0,0,0,0,3,1,1,1,0,2014,Synthetic,0,1,0.228573762,0.516173586,0.255252652
183,119,0,0,0,0,3,1,1,1,1,2014,Mixture,0,1,0.036110762,0.524885443,0.439003796
119,119,0,0,0,0,3,1,1,0,2,2014,NonSynthetic,0,1,0.794943803,0.16383326,0.041222938
142,119,0,0,0,0,3,1,1,0,2,2014,NonSynthetic,0,1,0.431055432,0.410066172,0.158878396
155,119,0,0,0,0,3,1,1,1,0,2014,Synthetic,0,1,0.228573762,0.516173586,0.255252652
183,119,0,0,0,0,3,1,1,1,1,2014,Mixture,0,1,0.036110762,0.524885443,0.439003796
119,119,0,0,0,0,4,4,4,0,2,2014,NonSynthetic,0,1,0.751560586,0.17529731,0.073142104
142,119,0.01,0,0,0,4,4,4,0,2,2014,NonSynthetic,1,1,0.358438861,0.387600794,0.253960345
155,119,0.01,0,0,0,4,4,4,1,0,2014,Synthetic,1,1,0.175020605,0.449269906,0.375709489
183,119,0.02,0,0,0,4,4,4,1,1,2014,Mixture,1,1,0.024077791,0.399573247,0.576348962
119,119,0,0,0,0,2,1,1,0,2,2014,NonSynthetic,0,1,0.794943803,0.16383326,0.041222938
142,119,0,0,0,0,2,1,1,0,2,2014,NonSynthetic,0,1,0.431055432,0.410066172,0.158878396
155,119,0,0,0,0,2,1,1,1,0,2014,Synthetic,0,1,0.228573762,0.516173586,0.255252652
183,119,0.16,0,0,0,2,1,1,1,1,2014,Mixture,1,1,0.029039063,0.452752284,0.518208654
119,119,0.01,0,0,0.01,5,2,2,0,2,2014,NonSynthetic,1,1,0.707355622,0.232657458,0.059986921
142,119,0.1,0,0,0.01,5,2,2,0,2,2014,NonSynthetic,1,1,0.300543147,0.474645534,0.224811318
155,119,0.1,0,0,0.01,5,2,2,1,0,2014,Synthetic,1,1,0.142545684,0.534398488,0.323055828
183,119,0.07,0,0,0.01,5,2,2,1,1,2014,Mixture,1,1,0.020931568,0.498496342,0.480572091
119,119,0.13,0,0,0.13,3,2,2,0,2,2014,NonSynthetic,1,1,0.685042402,0.237483943,0.077473654
142,119,0.09,0,0,0.13,3,2,2,0,2,2014,NonSynthetic,1,1,0.302785018,0.476095213,0.221119769
155,119,0.09,0,0,0.13,3,2,2,1,0,2014,Synthetic,1,1,0.143984689,0.537432994,0.318582317
183,119,0.02,0,0,0.13,3,2,2,1,1,2014,Mixture,1,1,0.022389633,0.521664787,0.45594558
119,119,0,0,0,0,3,4,4,0,2,2014,NonSynthetic,0,1,0.751560586,0.17529731,0.073142104
142,119,0.48,0,0,0,3,4,4,0,2,2014,NonSynthetic,1,1,0.221412781,0.294184398,0.48440282
151,119,0.48,0,0,0,3,4,4,1,1,2014,Mixture,1,1,0.122996986,0.297329059,0.579673955
155,119,0.48,0,0,0,3,4,4,1,0,2014,Synthetic,1,1,0.092742515,0.292512479,0.614745006
183,119,0.12,0,0,0,3,4,4,1,1,2014,Mixture,1,1,0.020506565,0.355552743,0.623940693
119,119,0,0,0,0,3,1,1,0,2,2014,NonSynthetic,0,1,0.794943803,0.16383326,0.041222938
142,119,0.03,0,0,0,3,1,1,0,2,2014,NonSynthetic,1,1,0.423732567,0.408434175,0.167833258
155,119,0.03,0,0,0,3,1,1,1,0,2014,Synthetic,1,1,0.222808093,0.509811668,0.267380239
183,119,0.01,0,0,0,3,1,1,1,1,2014,Mixture,1,1,0.035648627,0.520443773,0.4439076
119,119,0,0,0,0,5,3,3,0,2,2014,NonSynthetic,0,1,0.795641609,0.15756943,0.046788961
142,119,0.36,0,0,0,5,3,3,0,2,2014,NonSynthetic,1,1,0.326621272,0.349596445,0.323782282
155,119,0.36,0,0,0,5,3,3,1,0,2014,Synthetic,1,1,0.152805751,0.388249424,0.458944825
183,119,0.09,0,0,0,5,3,3,1,1,2014,Mixture,1,1,0.030639073,0.445164534,0.524196393
119,119,0.03,0,0,0.03,3,3,3,0,2,2014,NonSynthetic,1,1,0.79122933,0.158769202,0.050001468
142,119,0.04,0,0,0.03,3,3,3,0,2,2014,NonSynthetic,1,1,0.418344876,0.389185501,0.192469623
155,119,0.04,0,0,0.03,3,3,3,1,0,2014,Synthetic,1,1,0.217283078,0.479840259,0.302876663
183,119,0.14,0,0,0.03,3,3,3,1,1,2014,Mixture,1,1,0.028457482,0.422626844,0.548915675
119,119,0,0,0,0,3,1,1,0,2,2014,NonSynthetic,0,1,0.794943803,0.16383326,0.041222938
142,119,0,0,0,0,3,1,1,0,2,2014,NonSynthetic,0,1,0.431055432,0.410066172,0.158878396
155,119,0,0,0,0,3,1,1,1,0,2014,Synthetic,0,1,0.228573762,0.516173586,0.255252652
183,119,0,0,0,0,3,1,1,1,1,2014,Mixture,0,1,0.036110762,0.524885443,0.439003796
119,119,0,0,0,0,3,1,1,0,2,2014,NonSynthetic,0,1,0.794943803,0.16383326,0.041222938
142,119,0.01,0,0,0,3,1,1,0,2,2014,NonSynthetic,1,1,0.428630126,0.409549736,0.161820138
155,119,0.01,0,0,0,3,1,1,1,0,2014,Synthetic,1,1,0.226655325,0.514089181,0.259255494
183,119,0.04,0,0,0,3,1,1,1,1,2014,Mixture,1,1,0.034277163,0.507043579,0.458679258
119,119,0,0,0,0,4,4,4,0,2,2014,NonSynthetic,0,1,0.751560586,0.17529731,0.073142104
142,119,0.02,0,0,0,4,4,4,0,2,2014,NonSynthetic,1,1,0.355640653,0.386263884,0.258095463
155,119,0.02,0,0,0,4,4,4,1,0,2014,Synthetic,1,1,0.173100089,0.446291459,0.380608452
183,119,0.03,0,0,0,4,4,4,1,1,2014,Mixture,1,1,0.023704496,0.395106005,0.581189499
119,119,0,0,0,0,3,1,1,0,2,2014,NonSynthetic,0,1,0.794943803,0.16383326,0.041222938
142,119,0.01,0,0,0,3,1,1,0,2,2014,NonSynthetic,1,1,0.428630126,0.409549736,0.161820138
155,119,0.01,0,0,0,3,1,1,1,0,2014,Synthetic,1,1,0.226655325,0.514089181,0.259255494
183,119,0.02,0,0,0,3,1,1,1,1,2014,Mixture,1,1,0.035188947,0.51598898,0.448822073
119,119,0,0,0,0,5,1,1,0,2,2014,NonSynthetic,0,1,0.794943803,0.16383326,0.041222938
