spray.date,first.spray.date,mildew.incidence,flagshoot,previous.flagshoot,synthetic,nonsynthetic,disease.in.may,pruning,susceptibility.to.r6.Strains,susceptibility.to.nonr6.Strains,year,change,how,Grower,mi,NonSynthetic,Synthetic,Mixture
142,119,0,0,0,0,2,0,3,1,1,2014,0,N → N,1,0,0.794943803,0.16383326,0.041222938
155,119,0,0,0,1,0,0,3,1,1,2014,1,N → S,1,0,0.431055432,0.410066172,0.158878396
183,119,0.01,0,0,1,1,0,3,1,1,2014,1,S → M,1,1,0.228573762,0.516173586,0.255252652
142,119,0,0,0,0,2,0,3,4,4,2014,0,N → N,1,0,0.035648627,0.520443773,0.4439076
155,119,0,0,0,1,0,0,3,4,4,2014,1,N → S,1,0,0.751560586,0.17529731,0.073142104
183,119,0.01,0,0,1,1,0,3,4,4,2014,1,S → M,1,1,0.36122553,0.388906203,0.249868267
142,119,0,0,0,0,2,0,3,4,4,2014,0,N → N,1,0,0.176943983,0.45222109,0.370834927
155,119,0,0,0,1,0,0,3,4,4,2014,1,N → S,1,0,0.024454599,0.404051925,0.571493475
183,119,0.02,0,0,1,1,0,3,4,4,2014,1,S → M,1,1,0.751560586,0.17529731,0.073142104
142,119,0.05,0,0,0,2,0,4,2,2,2014,0,N → N,1,1,0.36122553,0.388906203,0.249868267
155,119,0.05,0,0,1,0,0,4,2,2,2014,1,N → S,1,1,0.176943983,0.45222109,0.370834927
183,119,0.1,0,0,1,1,0,4,2,2,2014,1,S → M,1,1,0.024077791,0.399573247,0.576348962
142,119,0,0,0,0,2,0,3,1,1,2014,0,N → N,1,0,0.709085215,0.232206548,0.058708237
155,119,0,0,0,1,0,0,3,1,1,2014,1,N → S,1,0,0.31166878,0.481548673,0.206782548
183,119,0,0,0,1,1,0,3,1,1,2014,1,S → M,1,0,0.149748037,0.54923298,0.301018983
142,119,0,0,0,0,2,0,3,1,1,2014,0,N → N,1,0,0.020079081,0.484521963,0.495398956
155,119,0,0,0,1,0,0,3,1,1,2014,1,N → S,1,0,0.794943803,0.16383326,0.041222938
183,119,0,0,0,1,1,0,3,1,1,2014,1,S → M,1,0,0.431055432,0.410066172,0.158878396
142,119,0.01,0,0,0,2,0,4,4,4,2014,0,N → N,1,1,0.228573762,0.516173586,0.255252652
155,119,0.01,0,0,1,0,0,4,4,4,2014,1,N → S,1,1,0.036110762,0.524885443,0.439003796
183,119,0.02,0,0,1,1,0,4,4,4,2014,1,S → M,1,1,0.794943803,0.16383326,0.041222938
